artifact,category,attack_count,defense_count,impact_count,similar_count,risk_score,centrality_score
Access Control Configuration,Configuration,6,2,0,0,12,8
Access Token,Identity,7,2,1,6,15,16
Application Configuration,Configuration,4,2,0,0,8,6
Boot Loader,System,1,1,0,0,2,2
Certificate File,File,5,1,0,6,10,12
Configuration Resource,Configuration,43,2,0,0,86,45
Container Image,System,1,1,0,0,2,2
Create File,File,2,1,0,0,4,3
Create Process,Process,24,4,0,7,48,35
Credential,Identity,18,9,1,6,37,34
DNS Lookup,Network,1,1,1,10,3,13
DNS Network Traffic,Network,2,1,0,10,4,13
Database,File,22,2,0,0,44,24
Database Query,Configuration,1,1,0,0,2,2
Database Record,File,23,1,0,0,46,24
Decoy Artifact,Misc,1,1,0,0,2,2
Digital Camera,System,1,1,0,0,2,2
Digital System,System,1,1,0,9,2,11
Directory,Configuration,3,1,0,0,6,4
Directory Service,Configuration,1,1,0,0,2,2
Document File,File,7,3,1,6,15,17
Domain User Account,Identity,4,1,1,6,9,12
Email,Network,4,6,0,10,8,20
Event Log,Configuration,13,1,0,0,26,14
Executable File,File,31,4,1,6,63,42
File,File,97,11,0,6,194,114
File Section,File,1,1,0,0,2,2
File Transfer Network Traffic,Network,2,1,1,10,5,14
Firmware,System,4,3,0,0,8,7
Hardware Device,System,11,1,0,9,22,21
Host,System,3,1,1,9,7,14
Identifier,Identity,4,1,0,6,8,11
Inbound Internet Network Traffic,Network,6,1,0,10,12,17
Inbound Network Traffic,Network,6,1,0,10,12,17
Input Device,System,3,2,0,0,6,5
Intranet Administrative Network Traffic,Network,8,1,0,0,16,9
Intranet IPC Network Traffic,Network,1,1,0,0,2,2
Intranet Network Traffic,Network,15,1,0,0,30,16
Job Schedule,Configuration,2,1,0,0,4,3
Local User Account,Identity,2,1,1,6,5,10
Log,Configuration,14,1,0,0,28,15
Mail Server,System,2,1,0,9,4,12
Network Node,System,3,4,0,9,6,16
Network Resource,System,8,2,0,0,16,10
Network Traffic,Network,72,9,1,10,145,92
Operating System File,File,9,1,1,6,19,17
Operating System Process,Process,3,1,0,7,6,11
Outbound Internet DNS Lookup Traffic,Network,2,4,0,0,4,6
Outbound Internet Network Traffic,Network,31,1,0,10,62,42
Outbound Network Traffic,Network,31,1,1,10,63,43
Partition Table,System,2,1,0,0,4,3
Password,File,3,5,0,0,6,8
Process,Process,13,11,5,7,31,36
Process Code Segment,Process,7,2,0,7,14,16
Process Segment,Process,12,2,0,7,24,21
RPC Network Traffic,Network,1,1,0,10,2,12
Removable Media Device,System,4,1,0,9,8,14
Secondary Storage,System,1,3,0,9,2,13
Service Application,System,6,1,1,9,13,17
Service Application Process,System,7,1,0,0,14,8
Session,Identity,8,1,1,6,17,16
Software,System,23,4,1,9,47,37
Stack Frame,Process,5,2,0,7,10,14
Storage,System,2,1,0,9,4,12
Subroutine,Process,1,5,0,7,2,13
System Call,Process,40,2,0,7,80,49
System Configuration Database,Configuration,13,1,0,0,26,14
System Firmware,System,2,1,0,0,4,3
System Init Configuration,Configuration,5,1,0,0,10,6
URL,Network,4,3,1,10,9,18
User Account,Identity,13,7,1,6,27,27
User Init Configuration File,File,2,1,0,6,4,9
Windows Registry Key,File,1,1,1,6,3,9
