artifact,category,attack,tactic,attack_count,defense_count,impact_count,similar_count,risk_score,centrality_score,attack_global_frequency,same_category_frequency,rule_score_total,matched_rule_count,max_rule_weight,unique_rule_types_count,identity_rule_score,file_rule_score,protocol_rule_score,port_rule_score,system_rule_score,context_rule_score,network_rule_score,has_port_signal,has_protocol_signal,has_file_signal,has_identity_signal,has_system_signal,has_context_signal,has_network_signal,label
Access Control Configuration,Configuration,Domain or Tenant Policy Modification,Unknown,6,2,0,0,12,8,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Access Control Configuration,Configuration,File and Directory Permissions Modification,Unknown,6,2,0,0,12,8,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Access Control Configuration,Configuration,Group Policy Discovery,Unknown,6,2,0,0,12,8,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Access Control Configuration,Configuration,Group Policy Preferences,Unknown,6,2,0,0,12,8,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Access Control Configuration,Configuration,SID-History Injection,Unknown,6,2,0,0,12,8,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Access Control Configuration,Configuration,Setuid and Setgid,Unknown,6,2,0,0,12,8,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Access Token,Identity,Application Access Token,Credential Access,7,2,1,6,15,16,3,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Application Access Token,Credential Access,7,2,1,6,15,16,3,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Create Process with Token,Privilege Escalation,7,2,1,6,15,16,4,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Create Process with Token,Privilege Escalation,7,2,1,6,15,16,4,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Create Process with Token,Credential Access,7,2,1,6,15,16,4,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Create Process with Token,Credential Access,7,2,1,6,15,16,4,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Golden Ticket,Credential Access,7,2,1,6,15,16,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Golden Ticket,Credential Access,7,2,1,6,15,16,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
